sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,,waste water| waste disposal| liquid waste| environmental geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/detergente,detergents,
,,debris flows| glacis| slope sedimentation| detritus| debris cones,http://linkeddata.ge.imati.cnr.it/resource/ThIST/detritodifalda,talus breccia,
stable isotopes| hydrogen| isotopes,,D/H,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deuterio,deuterium,
statistical analysis,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deviazionestandard,standard deviation,
Free Padania,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/devoluzione,Devolution,
Paleozoic,Lochkovian| Dittonian| Emsian| Pragian| Lower Devonian| Acadian Phase| Helderbergian| Frasnian| Couvinian| Strunian| Eifelian| Famennian| Siegenian| Middle Devonian| Upper Old Red Sandstone| Givetian| Gedinnian| Old Red Sandstone| Upper Devonian,Downtonian| Hercynian Orogeny| Dalradian| Antler Orogeny,http://linkeddata.ge.imati.cnr.it/resource/ThIST/devoniano,Devonian,
fractures,,conjugate folds| cross fractures| stereographic projection| fissures| release fractures| bedding joints| structural analysis| oblique orientation| strike| linear orientation| columnar joints| cleats,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diaclasi,joints,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diaframma,,
,late diagenesis| burial diagenesis| early diagenesis| syngenesis| cementation| chertification,cement| lithification| sedimentary petrology| epigenesis| induration| catagenesis| pressure solution| processes| sediments| carbonatization| sedimentation| sedimentary structures| sedimentary evolution| phosphatization| alteration| halmyrolysis| dolomitization| weathering| materials| maturity index| indicators| crystallinity| coalification| silicification| deposition| calcitization| metasomatism| sedimentary rocks| dedolomitization| consolidation| compaction| pyritization| metamorphism| calcification| authigenesis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diagenesi,diagenesis,
,,computer languages| algorithms| graphic methods| computer programs,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diagrammaablocchi,block diagrams,
,,degree of freedom| high pressure| carbon dioxide| hydrothermal conditions| solid phase| solid solution| diamond anvil cells| fluid phase| eutectic conditions| mineral deposits| liquid phase| miscibility| free energy| liquidus| solidus| thermodynamics| phase transitions| crystal chemistry| Hugoniot analysis| grain boundaries| ternary system| low temperature| petrochemistry| sintering| geochemistry| immiscibility| quaternary system| melting| temperature| subsolidus| crystallography| reaction rims| crystal growth| P-T conditions| binary system| entropy| transformations| partitioning| equilibrium| incongruent melting| igneous rocks| high temperature| magmatic evolution| inclusions| segregation| microthermometry| mineralogy| metasomatism| crystal zoning| pressure| melts| isochores| phase rule| mineral assemblages| miscibility gap| equations of state| mineral phase| magmas| gases| partial melting| metamorphism| paragenesis| low pressure| metamorphic rocks,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diagrammadequilibrio,phase equilibria,
Cosenza Italy| native elements,,carbon| diamonds| kimberlite| graphite| gems,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diamante,diamond,
well-logging,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diametraggio,caliper logging,
,,salt tectonics| salt domes| diapirs| intrusions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diapirismo,diapirism,
,,salt tectonics| fluidal texture| salt domes| salt| folds| evaporitic rock| cap rock| anticlines| domes| diapirism,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diapiro,diapirs,
algae| thallophytes| microfossils| Plantae,Nitzschia| Melosira| Navicula,plankton| diatomaceous earth| spicules| ooze| phytoplankton| frustules,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diatomeae,Diatomeae,
,,abrasives| diatomaceous earth| clastic rocks| chert,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diatomite,diatomite,
intrusions,,volcanic necks| pipes| breccia pipes| volcanic features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diatrema,diatremes,
intrusions,ring dikes,cauldrons| dike swarms| veins| ring structures| batholiths| igneous rocks| clastic dikes| laccoliths| sills| ring complexes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dicco,dikes,
,,paleontology| predation| nutrients| biochemistry| trophic analysis| metabolism| middens| nutrition,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dieta,diet,
,,point defects| crystal lattice| stacking| color centers| minerals| structural crystallography| crystallography| crystals| mineral interlayers| deformation| crystal dislocations| surface defects| crystal structure,http://linkeddata.ge.imati.cnr.it/resource/ThIST/difettocristallino,defects,
,,gravitational differentiation| horizon differentiation| zoning| border facies| magmatic differentiation| apophysis| differential weathering| Earth| epimagmatic origin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/differenziazione,differentiation,
,,X-ray diffraction data| single-crystal method| crystallography| powder method| neutron diffraction data| diffraction| electron diffraction analysis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diffrattogramma,diffractogram,
,,reflection| ocean waves| neutron diffraction analysis| refraction| diffractogram| seismic migration| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diffrazione,diffraction,
,,minerals| crystal growth| powder method| X-ray analysis| methods| diffractogram| crystal structure,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diffrazioneacristallosingolo,single-crystal method,
,,seismic methods| geophysical methods,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diffrazionesismica,seismic diffraction,
,,ocean circulation| meteorology| concentration| processes| hydrochemistry| sintering| geochemistry| diffusivity| permeability| absolute age| scattering| ion exchange| analytical method| oceanography| osmosis| contamination| polarography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diffusione,diffusion,
,,waves| diffusion| wave dispersion,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diffusionedonda,scattering,
,rockfill dams| earth dams| tailings dams| masonry dam| concrete dams| arch dams| seawalls| gravity dams,geomembranes| geotextiles| reservoirs| land subsidence| embankments| hydroelectric power plant| ground-water dams| applied geology| construction| foundations| dam release| polders| environmental impact evaluation| rock mechanics| site exploration| water storage| soil mechanics| reinforced materials| seismic response| slope stability| environmental impact| grouting,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diga,dams,
dams,,polders| shorelines| revetments,http://linkeddata.ge.imati.cnr.it/resource/ThIST/digacostiera,seawalls,
,,dilatancy| thermal effects| dilatometers,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dilatazione,dilation,
,,grain size| grains| depth| cell dimensions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dimensione,dimensions,
,,morphology| reproduction,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dimorfismosessuale,sexual dimorphism,
,,dynamic loading| kinetics| soil dynamics| landform evolution| geodynamics| shorelines| dynamic properties,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dinamica,dynamics,
,,soil erosion| soils| dynamics| soil-water balance| alteration| soil mechanics| land preservation| pedogenesis| burial,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dinamicadelsuolo,soil dynamics,
,,tilt| faults| strike-slip faults| dip| orientation| joints| folds| fractures| strike faults| cleats,http://linkeddata.ge.imati.cnr.it/resource/ThIST/direzione,strike,
,,ocean circulation| sedimentation| paleocurrents| currents,http://linkeddata.ge.imati.cnr.it/resource/ThIST/direzionedellacorrente,current directions,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/direzionedelvento,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/diritto,,
,,protected areas| environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dirittoambientale,environmental law,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dirittoamministrativo,,
landfills,,waste disposal,http://linkeddata.ge.imati.cnr.it/resource/ThIST/discaricacontrollata,sanitary landfills,
,,waste disposal| underground storage| radioactive waste| waste disposal sites| underground installations| near-field| far-field| landfills,http://linkeddata.ge.imati.cnr.it/resource/ThIST/discaricasotterranea,underground disposal,
,angular unconformities| erosional unconformities,sequence stratigraphy| depositional sequence| paraconformity| stratigraphic sequence| stratigraphy| exhumation| lithostratigraphy| emergence| hardground| UBSU| stratigraphic gaps| transgression| nonconformities,http://linkeddata.ge.imati.cnr.it/resource/ThIST/discordanza,unconformities,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/discorso,,
,,freezing| active layer| snow| permafrost| cryonival features| taliks| frost action| ice| glacial geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/disgelo,thawing,
,,water of dehydration| sediments| geochemistry| desiccation| hydration,http://linkeddata.ge.imati.cnr.it/resource/ThIST/disidratazione,dehydration,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dispersione,,
,,attenuation| waves| scattering| elastic waves| electron microscopy| optical properties| absorption and scattering| spectroscopy| wave absorption| distortion| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dispersionedonda,wave dispersion,
metals| rare earths,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/disprosio,dysprosium,
,,processes| geochemistry| electrolysis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dissociazioneionica,dissociation,
,,carbonate compensation depth| lysoclines| solid solution| concentration| pressure solution| solution features| caves| geochemistry| aqueous solutions| electrolysis| solubility| karst| exsolution| solutions| adsorption| pits| solutes| leaching| karstification| solution rates,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dissoluzione,solution,
Protista| Invertebrata| microfossils| Silicoflagellata,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distephanus,Distephanus,
,,coal| petroleum engineering| recovery| bituminous shale| combustion,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distillazione,retorting,
,,elastic waves| distortion| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distorsionedampiezza,amplitude distortion,
,,elastic waves| distortion| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distorsionedifase,phase distortion,
,,elastic waves| distortion| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distorsionedisegnale,signal distortion,
,,elastic waves| distortion| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distorsionelineare,linear distortion,
,,elastic waves| distortion| seismology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distorsionenonlineare,non-linear distortion,
,,asymmetric distribution| Poisson distribution| spatial distribution| temporal distribution| frequency distribution| normal distribution| statistical distribution| size distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzione,distribution,
,,symmetry| statistical analysis| statistical distribution| distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzioneasimmetrica,asymmetric distribution,
,,statistical distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionebinomiale,binomial distribution,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionedellapopolazione,,
,,statistical analysis| normal distribution| statistical distribution| distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionedifrequenza,frequency distribution,
,,statistical analysis| statistical distribution| distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionedipoisson,Poisson distribution,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionegeografica,,
,,granulometry| medium-grained| sediments| grain size| grain size analysis| textures| sedimentary rocks| distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionegranulometrica,size distribution,
,,statistical analysis| frequency distribution| errors| distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionenormale,normal distribution,
,,distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionespaziale,spatial distribution,
,,asymmetric distribution| Poisson distribution| skewness| statistical analysis| binomial distribution| frequency distribution| populations| distribution,http://linkeddata.ge.imati.cnr.it/resource/ThIST/distribuzionestatistica,statistical distribution,
,,sea-floor spreading| rifts| mid-ocean ridges| plate tectonics| rifting| plate boundaries| intracratonic rifts| crustal thinning| accreting plate boundary| passive margins| accretion,http://linkeddata.ge.imati.cnr.it/resource/ThIST/divergenzadiplacche,plate divergence,
,,monographs| publications| lexicons| glossaries,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dizionario,dictionaries,
Africa| East Africa| Djibouti Djibouti| Djibouti,Djibouti Djibouti| Djibouti,Red Sea| Afar| Red Sea Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti,Djibouti,
Africa| East Africa| Djibouti Djibouti| Djibouti,Djibouti Djibouti| Djibouti,Red Sea| Afar| Red Sea Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti,Djibouti Djibouti,
,,biologic evolution| life origin| acids,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dna,DNA,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/documentazione,,
,,economics,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dogana,customs duty,
carbonates,,dolomitic limestone| evaporites| dolomitic composition| chemically precipitated rocks| light minerals| carbonate rocks| dolomitization| calcite| marbles| kutnahorite| carbonate sediments| huntite| dolostone| ankerite,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dolomite,dolomite,
Alps| Europe| Europa Island| Eastern Alps,Cima d'Asta| Lessini Mountains| Marmolada| Latemar Massif,Atesine Alps| Piave River Basin| Tyrol Austria| Voltago Conglomerate| Senales Valley| Marmolada Glacier| Piave River| Non Valley| Valsugana| Formazione di Soverzene| Dolomia Principale| Ambata Formation| Brenta-Bacchiglione River Basin| Badia Valley| Conglomerato di Richtofen| Calcare di Morbiac| Formazione di Agordo| Formazione di Duerrenstein| Cadore| Tagliamento River Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dolomiti,Dolomites,
,,brackish-water environment| dolomitic limestone| late diagenesis| epigenesis| fossils| processes| dolomitic composition| early diagenesis| sediments| sedimentation| lagoonal environment| supratidal environment| diagenesis| calcitization| limestone| hypersaline environment| metasomatism| sedimentary rocks| dedolomitization| dolomite| dolostone,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dolomitizzazione,dolomitization,
